area,response,var,label,estimate,ci,pd,ps,bf,ess,rhat
Laboratory and Cellular,Bilirubin,[PCOV Severity Score] x [Pathologies: Diabetes (Yes)],"$\beta$ = -0.26, CI~95%~[-0.85, 0.28], pd = 81.5%, ps = 71%, BF~10~ = 0.14",-0.26,"[-0.85, 0.28]",0.815,0.71,0.14,12872,1
Laboratory and Cellular,Bilirubin,[Pathologies: Diabetes (Yes)],"$\beta$ = -0.32, CI~95%~[-0.88, 0.24], pd = 86.6%, ps = 77%, BF~10~ = 0.18",-0.32,"[-0.88, 0.24]",0.866,0.77,0.18,13934.3,1.001
Laboratory and Cellular,Bilirubin,[Pathologies: Hypertension (Yes)],"$\beta$ = -0.43, CI~95%~[-0.87, 0.02], pd = 97.2%, ps = 93.2%, BF~10~ = 0.48",-0.43,"[-0.87, 0.02]",0.972,0.932,0.48,13173.2,1
Laboratory and Cellular,Bilirubin,[Sex: Female],"$\beta$ = -0.38, CI~95%~[-0.75, -0.01], pd = 97.6%, ps = 92.5%, BF~10~ = 0.45",-0.38,"[-0.75, -0.01]",0.976,0.925,0.45,13229.8,1
Laboratory and Cellular,Blood Urea nitrogen,[Age],"$\beta$ = 0.25, CI~95%~[0.02, 0.47], pd = 98.4%, ps = 90.1%, BF~10~ = 0.38",0.25,"[0.02, 0.47]",0.984,0.901,0.38,8227.3,1
Laboratory and Cellular,Blood Urea nitrogen,[PCOV NoS] x [Pathologies: Diabetes (Yes)],"$\beta$ = -0.31, CI~95%~[-0.96, 0.36], pd = 81.7%, ps = 72.9%, BF~10~ = 0.17",-0.31,"[-0.96, 0.36]",0.817,0.729,0.17,9939,1
Laboratory and Cellular,Blood Urea nitrogen,[PCOV NoS] x [Pathologies: Dyslipidemia (Yes)],"$\beta$ = -0.32, CI~95%~[-0.97, 0.32], pd = 83.1%, ps = 74.8%, BF~10~ = 0.18",-0.32,"[-0.97, 0.32]",0.831,0.748,0.18,9284.1,1
Laboratory and Cellular,Blood Urea nitrogen,[PCOV NoS] x [Pathologies: Obesity (Yes)],"$\beta$ = 0.54, CI~95%~[-0.21, 1.31], pd = 91.7%, ps = 86.9%, BF~10~ = 0.33",0.54,"[-0.21, 1.31]",0.917,0.869,0.33,9224.5,1
Laboratory and Cellular,Blood Urea nitrogen,[PCOV NoS] x [Sex: Female],"$\beta$ = 0.29, CI~95%~[-0.2, 0.83], pd = 86.6%, ps = 77.2%, BF~10~ = 0.17",0.29,"[-0.2, 0.83]",0.866,0.772,0.17,8337.6,1
Laboratory and Cellular,Blood Urea nitrogen,[PCOV NoV],"$\beta$ = 0.53, CI~95%~[-0.48, 1.61], pd = 83.9%, ps = 79%, BF~10~ = 0.29",0.53,"[-0.48, 1.61]",0.839,0.79,0.29,7122.9,1
Laboratory and Cellular,Blood Urea nitrogen,[PCOV NoV] x [Fatigue scale],"$\beta$ = -0.28, CI~95%~[-0.5, -0.06], pd = 99.4%, ps = 94.3%, BF~10~ = 0.76",-0.28,"[-0.5, -0.06]",0.994,0.943,0.76,11836.2,1
Laboratory and Cellular,Blood Urea nitrogen,[PCOV NoV] x [Pathologies: Obesity (Yes)],"$\beta$ = 0.36, CI~95%~[-0.4, 1.1], pd = 82.4%, ps = 75%, BF~10~ = 0.2",0.36,"[-0.4, 1.1]",0.824,0.75,0.2,9216.4,1
Laboratory and Cellular,Blood Urea nitrogen,[PCOV NoV] x [Sex: Female],"$\beta$ = -0.26, CI~95%~[-0.72, 0.2], pd = 86.5%, ps = 75.2%, BF~10~ = 0.14",-0.26,"[-0.72, 0.2]",0.865,0.752,0.14,13406.8,1
Laboratory and Cellular,Blood Urea nitrogen,[PCOV Severity Score],"$\beta$ = -0.38, CI~95%~[-1.19, 0.45], pd = 81.7%, ps = 74.4%, BF~10~ = 0.21",-0.38,"[-1.19, 0.45]",0.817,0.744,0.21,6491.1,1
Laboratory and Cellular,Blood Urea nitrogen,[PCOV Severity Score] x [Education level: Linear],"$\beta$ = 1.07, CI~95%~[-1.3, 3.41], pd = 80.9%, ps = 78.8%, BF~10~ = 0.6",1.07,"[-1.3, 3.41]",0.809,0.788,0.6,6453.1,1
Laboratory and Cellular,Blood Urea nitrogen,[PCOV Severity Score] x [Fatigue scale],"$\beta$ = -0.13, CI~95%~[-0.34, 0.08], pd = 87.5%, ps = 59.4%, BF~10~ = 0.07",-0.13,"[-0.34, 0.08]",0.875,0.594,0.07,10529.1,1
Laboratory and Cellular,Blood Urea nitrogen,[PCOV Severity Score] x [Pathologies: Diabetes (Yes)],"$\beta$ = 0.65, CI~95%~[0.03, 1.29], pd = 97.8%, ps = 95.5%, BF~10~ = 0.8",0.65,"[0.03, 1.29]",0.978,0.955,0.8,10148.6,1
Laboratory and Cellular,Blood Urea nitrogen,[PCOV Severity Score] x [Pathologies: Dyslipidemia (Yes)],"$\beta$ = 0.41, CI~95%~[-0.16, 1], pd = 91.7%, ps = 85.6%, BF~10~ = 0.26",0.41,"[-0.16, 1]",0.917,0.856,0.26,10558.5,1
Laboratory and Cellular,Blood Urea nitrogen,[PCOV Severity Score] x [Pathologies: Obesity (Yes)],"$\beta$ = -0.45, CI~95%~[-1.33, 0.49], pd = 82.6%, ps = 76.6%, BF~10~ = 0.25",-0.45,"[-1.33, 0.49]",0.826,0.766,0.25,11177.4,1
Laboratory and Cellular,Blood Urea nitrogen,[Pathologies: Diabetes (Yes)],"$\beta$ = 0.99, CI~95%~[0.36, 1.64], pd = 99.9%, ps = 99.6%, BF~10~ = 8.74",0.99,"[0.36, 1.64]",0.999,0.996,8.74,9173.1,1
Laboratory and Cellular,Blood Urea nitrogen,[Pathologies: Dyslipidemia (Yes)],"$\beta$ = 0.63, CI~95%~[-0.13, 1.37], pd = 94.7%, ps = 91.8%, BF~10~ = 0.53",0.63,"[-0.13, 1.37]",0.947,0.918,0.53,9230.6,1
Laboratory and Cellular,Blood Urea nitrogen,[Pathologies: Hypertension (Yes)],"$\beta$ = 0.35, CI~95%~[-0.17, 0.81], pd = 91.9%, ps = 84.3%, BF~10~ = 0.22",0.35,"[-0.17, 0.81]",0.919,0.843,0.22,10158.9,1
Laboratory and Cellular,Blood Urea nitrogen,[Pathologies: Obesity (Yes)],"$\beta$ = -0.81, CI~95%~[-1.56, 0], pd = 97.9%, ps = 96.3%, BF~10~ = 1",-0.81,"[-1.56, 0]",0.979,0.963,1,9834.9,1
Laboratory and Cellular,Blood Urea nitrogen,[Sex: Female],"$\beta$ = -0.56, CI~95%~[-0.96, -0.16], pd = 99.6%, ps = 98.7%, BF~10~ = 2.68",-0.56,"[-0.96, -0.16]",0.996,0.987,2.68,10196.3,1
Laboratory and Cellular,Calcium,[Education level: Cubic],"$\beta$ = -1.29, CI~95%~[-3.42, 0.86], pd = 87.8%, ps = 85.9%, BF~10~ = 0.75",-1.29,"[-3.42, 0.86]",0.878,0.859,0.75,7465,1
Laboratory and Cellular,Calcium,[Education level: Linear],"$\beta$ = 1.82, CI~95%~[-0.87, 4.39], pd = 91.4%, ps = 90.1%, BF~10~ = 1.14",1.82,"[-0.87, 4.39]",0.914,0.901,1.14,8422.3,1
Laboratory and Cellular,Calcium,[Fatigue scale],"$\beta$ = 0.13, CI~95%~[-0.09, 0.37], pd = 86.6%, ps = 60.9%, BF~10~ = 0.08",0.13,"[-0.09, 0.37]",0.866,0.609,0.08,13169.3,1
Laboratory and Cellular,Calcium,[PCOV NoS] x [Age],"$\beta$ = -0.23, CI~95%~[-0.62, 0.19], pd = 86.3%, ps = 73.8%, BF~10~ = 0.13",-0.23,"[-0.62, 0.19]",0.863,0.738,0.13,9448.6,1
Laboratory and Cellular,Calcium,[PCOV NoS] x [Education level: Linear],"$\beta$ = -1.47, CI~95%~[-4.51, 1.55], pd = 82.9%, ps = 81.2%, BF~10~ = 0.81",-1.47,"[-4.51, 1.55]",0.829,0.812,0.81,6986.4,1.001
Laboratory and Cellular,Calcium,[PCOV NoS] x [Pathologies: Dyslipidemia (Yes)],"$\beta$ = -0.96, CI~95%~[-1.74, -0.15], pd = 99.1%, ps = 98.2%, BF~10~ = 1.88",-0.96,"[-1.74, -0.15]",0.991,0.982,1.88,10752.6,1
Laboratory and Cellular,Calcium,[PCOV NoS] x [Pathologies: Hypertension (Yes)],"$\beta$ = 0.6, CI~95%~[-0.27, 1.47], pd = 91.4%, ps = 87%, BF~10~ = 0.37",0.6,"[-0.27, 1.47]",0.914,0.87,0.37,9316.9,1
Laboratory and Cellular,Calcium,[PCOV NoS] x [Pathologies: Obesity (Yes)],"$\beta$ = 0.45, CI~95%~[-0.52, 1.42], pd = 81.3%, ps = 75.4%, BF~10~ = 0.24",0.45,"[-0.52, 1.42]",0.813,0.754,0.24,10326.9,1
Laboratory and Cellular,Calcium,[PCOV NoV] x [Age],"$\beta$ = -0.12, CI~95%~[-0.39, 0.15], pd = 81.4%, ps = 55.6%, BF~10~ = 0.07",-0.12,"[-0.39, 0.15]",0.814,0.556,0.07,12816,1
Laboratory and Cellular,Calcium,[PCOV Severity Score] x [Fatigue scale],"$\beta$ = -0.16, CI~95%~[-0.41, 0.13], pd = 87.3%, ps = 65.4%, BF~10~ = 0.09",-0.16,"[-0.41, 0.13]",0.873,0.654,0.09,12554.7,1
Laboratory and Cellular,Calcium,[PCOV Severity Score] x [Pathologies: Obesity (Yes)],"$\beta$ = -0.62, CI~95%~[-1.79, 0.51], pd = 85.2%, ps = 81.1%, BF~10~ = 0.35",-0.62,"[-1.79, 0.51]",0.852,0.811,0.35,11301.3,1
Laboratory and Cellular,Calcium,[Pathologies: Dyslipidemia (Yes)],"$\beta$ = 0.97, CI~95%~[0.02, 1.84], pd = 98.1%, ps = 96.8%, BF~10~ = 1.22",0.97,"[0.02, 1.84]",0.981,0.968,1.22,10487.7,1
Laboratory and Cellular,Calcium,[Pathologies: Hypertension (Yes)],"$\beta$ = -0.46, CI~95%~[-1.1, 0.17], pd = 93.1%, ps = 87.7%, BF~10~ = 0.31",-0.46,"[-1.1, 0.17]",0.931,0.877,0.31,11464.2,1
Laboratory and Cellular,Calcium,[Pathologies: Obesity (Yes)],"$\beta$ = -0.62, CI~95%~[-1.57, 0.36], pd = 89.6%, ps = 85.4%, BF~10~ = 0.36",-0.62,"[-1.57, 0.36]",0.896,0.854,0.36,10538.9,1
